sentence,label
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",1
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",1
"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .",1
The bank sees a potential for Getinge share to rise .,2
"Tecnomen , headquartered in Espoo , Finland , develops messaging and charging solutions for telecomms operators and service providers worldwide .",1
"The mill 's raw material need will increase by 100,000 m3 of wood .",1
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn .",1
$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,0
Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .,1
"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members .",1
"Also Finnish Industry Investment , a government-owned investment company , will participate in the project .",1
$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,2
"$TYC just about to break out to new highs, lots of technicals looking great right now.",2
"The NTSB said investigators are set to conduct sight distance tests on July 18 , using trains similar to those involved in the accident .",1
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",2
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,2
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",1
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",1
"At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear .",1
energy still failing to close above the 10D MA.  continues to stand out weak $XLE,0
"Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",2
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",1
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,1
"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",2
"`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class .",1
The sales price was not disclosed .,1
The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present .,1
The company distributes Hiab 's products as well as other products .,1
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,1
"Tip of the week Panfish like bluegills are great fun to catch , especially for children new to fishing .",1
"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 .",1
The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,2
Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,0
